"","station","name","longitude","latitude","avg_stop_times","prov","count","groups","k","maxcount","maj_groups","major_hub","non_hub"
"188","008814308","Halle",4.240634,50.733931,182.09826589595,"Vlaams Brabant",139,"9","k = 11",660,"1","0","0"
"189","008861168","Ham-sur-Sambre",4.669392,50.45255,2.2196531791908,"Namur",1,"4","k = 11",114,"2","0","1"
"190","008822533","Hambos",4.66301,50.944251,13.317919075145,"Vlaams Brabant",16,"3","k = 11",300,"4","0","0"
"191","008842846","Hamoir",5.533561,50.428181,25.346820809249,"Liège",8,"6","k = 11",119,"2","0","1"
"192","008832664","Hamont",5.543279,51.246424,17.329479768786,"Limburg",16,"5","k = 11",132,"4","0","0"
"193","008891165","Hansbeke",3.536212,51.073202,28.023121387283,"Oost-Vlaanderen",29,"2","k = 11",343,"4","0","0"
"194","008884640","Harchies",3.698764,50.482565,4.9479768786127,"Hainaut",1,"7","k = 11",63,"2","0","1"
"195","008896115","Harelbeke",3.314008,50.85586,26.549132947977,"West-Vlaanderen",35,"11","k = 11",183,"3","0","0"
"196","008811155","Haren",4.419978,50.888878,19.303468208092,"Bruxelles",19,"9","k = 11",660,"4","0","0"
"197","008811130","Haren-Sud/Haren-Zuid",4.415357,50.889696,49.153179190751,"Bruxelles",35,"9","k = 11",660,"3","0","0"
"198","008831005","Hasselt",5.327627,50.930822,180.59826589595,"Limburg",132,"5","k = 11",132,"1","0","0"
"199","008843349","Haute-Flône",5.330333,50.55349,21.653179190751,"Liège",1,"6","k = 11",119,"2","0","1"
"200","008881430","Havre",4.059987,50.470754,25.85838150289,"Hainaut",1,"10","k = 11",97,"2","0","1"
"201","008821519","Heide",4.460483,51.364623,45.696531791908,"Antwerpen",29,"8","k = 11",334,"4","0","0"
"202","008891645","Heist",3.239181,51.333979,19.670520231214,"West-Vlaanderen",4,"11","k = 11",183,"2","0","1"
"203","008821832","Heist-op-den-Berg",4.708235,51.074146,53.060693641618,"Antwerpen",36,"3","k = 11",300,"3","0","0"
"204","008812153","Heizijde",4.156171,50.989593,36.341040462428,"Oost-Vlaanderen",33,"8","k = 11",334,"3","0","0"
"205","008824224","Hemiksem",4.338293,51.136243,15.450867052023,"Antwerpen",5,"8","k = 11",334,"2","0","1"
"206","008883022","Hennuyères",4.175893,50.651005,49.054913294798,"Hainaut",29,"10","k = 11",97,"4","0","0"
"207","008811288","Herent",4.672188,50.90353,50.621387283237,"Vlaams Brabant",35,"3","k = 11",300,"3","0","0"
"208","008821717","Herentals",4.829535,51.181513,101.30924855491,"Antwerpen",62,"3","k = 11",300,"1","0","0"
"209","008844644","Hergenrath",6.041335,50.718209,20.722543352601,"Liège",2,"6","k = 11",119,"2","0","1"
"210","008895646","Herne",4.014573,50.723701,21.736994219653,"Vlaams Brabant",16,"1","k = 11",152,"4","0","0"
"211","008885753","Herseaux",3.245959,50.713894,26.228323699422,"Hainaut",24,"11","k = 11",183,"4","0","0"
"212","008841608","Herstal",5.622761,50.660911,107.27167630058,"Liège",19,"6","k = 11",119,"4","0","0"
"213","008895430","Herzele",3.880616,50.89722,28.919075144509,"Oost-Vlaanderen",14,"1","k = 11",152,"4","0","0"
"214","008832243","Heusden",5.281782,51.038207,28.393063583815,"Limburg",3,"5","k = 11",132,"2","0","1"
"215","008822459","Hever",4.537637,50.997791,17.774566473988,"Vlaams Brabant",19,"3","k = 11",300,"4","0","0"
"216","008833126","Heverlee",4.6952,50.86253,49.985549132948,"Vlaams Brabant",11,"3","k = 11",300,"2","0","1"
"217","008895422","Hillegem",3.857469,50.891296,18.173410404624,"Oost-Vlaanderen",11,"1","k = 11",152,"2","0","1"
"218","008824158","Hoboken-Polder",4.347785,51.182699,15.450867052023,"Antwerpen",5,"8","k = 11",334,"2","0","1"
"219","008811460","Hoeilaart",4.467414,50.760161,18.28323699422,"Vlaams Brabant",20,"4","k = 11",114,"4","0","0"
"220","008822277","Hofstade",4.498336,50.988658,9.3150289017341,"Vlaams Brabant",3,"3","k = 11",300,"2","0","1"
"221","008814159","Holleken",4.353952,50.767631,21.728323699422,"Vlaams Brabant",18,"9","k = 11",660,"4","0","0"
"222","008842655","Hony",5.573563,50.539917,25.439306358382,"Liège",8,"6","k = 11",119,"2","0","1"
"223","008886553","Houraing",3.835175,50.703062,27.14161849711,"Hainaut",7,"1","k = 11",152,"2","0","1"
"224","008821337","Hove",4.465157,51.154114,31.939306358382,"Antwerpen",34,"8","k = 11",334,"3","0","0"
"225","008814415","Huizingen",4.266487,50.7519,37.742774566474,"Vlaams Brabant",19,"9","k = 11",660,"4","0","0"
"226","008843307","Huy",5.234211,50.527242,58.329479768786,"Liège",21,"6","k = 11",119,"4","0","0"
"227","008895844","Iddergem",4.06849,50.876886,26.864161849711,"Oost-Vlaanderen",17,"1","k = 11",152,"4","0","0"
"228","008895729","Idegem",3.921553,50.801871,26.864161849711,"Oost-Vlaanderen",17,"1","k = 11",152,"4","0","0"
"229","008896503","Ieper",2.876593,50.847402,22.445086705202,"West-Vlaanderen",29,"11","k = 11",183,"4","0","0"
"230","008896925","Ingelmunster",3.255416,50.914326,33.202312138728,"West-Vlaanderen",28,"11","k = 11",183,"4","0","0"
"231","008896909","Izegem",3.212088,50.921149,35.274566473988,"West-Vlaanderen",29,"11","k = 11",183,"4","0","0"
"232","008863115","Jambes",4.876144,50.454843,45.242774566474,"Namur",18,"4","k = 11",114,"4","0","0"
"233","008863354","Jambes-Est",4.880261,50.454798,27.205202312139,"Namur",0,"4","k = 11",114,"2","0","1"
"234","008884566","Jemappes",3.885587,50.452577,58.341040462428,"Hainaut",31,"7","k = 11",63,"4","0","0"
"235","008843158","Jemeppe-sur-Meuse",5.497874,50.618446,25.468208092486,"Liège",1,"6","k = 11",119,"2","0","1"
"236","008874724","Jemeppe-sur-Sambre",4.662632,50.45095,41.528901734104,"Namur",14,"4","k = 11",114,"4","0","0"
"237","008812047","Jette",4.32622,50.880833,95.676300578035,"Bruxelles",63,"9","k = 11",660,"1","0","0"
"238","008881166","Jurbeke",3.910694,50.530496,88.511560693642,"Hainaut",50,"7","k = 11",63,"3","0","0"
"239","008844321","Juslenville",5.809935,50.544717,21.78323699422,"Liège",2,"6","k = 11",119,"2","0","1"
"240","008821444","Kalmthout",4.46682,51.391177,45.696531791908,"Antwerpen",29,"8","k = 11",334,"4","0","0"
"241","008822053","Kapelle-op-den-Bos",4.359121,51.010843,23.023121387283,"Vlaams Brabant",23,"8","k = 11",334,"4","0","0"
"242","008821535","Kapellen",4.432661,51.313528,45.696531791908,"Antwerpen",29,"8","k = 11",334,"4","0","0"
"243","008821659","Kessel",4.618459,51.151057,29.56936416185,"Antwerpen",10,"3","k = 11",300,"2","0","1"
"244","008832375","Kiewit",5.350226,50.954841,39.476878612717,"Limburg",41,"5","k = 11",132,"3","0","0"
"245","008821451","Kijkuit",4.467315,51.378664,22.242774566474,"Antwerpen",6,"8","k = 11",334,"2","0","1"
"246","008891660","Knokke",3.285188,51.339894,19.670520231214,"West-Vlaanderen",4,"11","k = 11",183,"2","0","1"
"247","008892320","Koksijde",2.65277,51.079197,19.823699421965,"West-Vlaanderen",36,"11","k = 11",183,"3","0","0"
"248","008821311","Kontich",4.476358,51.134023,31.939306358382,"Antwerpen",34,"8","k = 11",334,"3","0","0"
"249","008892403","Kortemark",3.043459,51.025244,19.823699421965,"West-Vlaanderen",36,"11","k = 11",183,"3","0","0"
"250","008811254","Kortenberg",4.543301,50.893067,50.621387283237,"Vlaams Brabant",35,"9","k = 11",660,"3","0","0"
"251","008896008","Kortrijk",3.264549,50.824506,153.11560693642,"West-Vlaanderen",116,"11","k = 11",183,"1","0","0"
"252","008893567","Kwatrecht",3.829593,50.99175,23.00289017341,"Oost-Vlaanderen",29,"2","k = 11",343,"4","0","0"
"253","008811510","La Hulpe",4.49706,50.737958,30.734104046243,"Brabant Wallon",36,"4","k = 11",114,"3","0","0"
"254","008882107","La Louvière-Centre",4.179858,50.478161,55.445086705202,"Hainaut",22,"10","k = 11",97,"4","0","0"
"255","008882206","La Louvière-Sud",4.190609,50.464974,113.46242774566,"Hainaut",35,"10","k = 11",97,"3","0","0"
"256","008872587","La Roche (Brabant)",4.539157,50.610338,20.161849710983,"Brabant Wallon",6,"4","k = 11",114,"2","0","1"
"257","008892056","Landegem",3.576852,51.064311,29.777456647399,"Oost-Vlaanderen",31,"2","k = 11",343,"4","0","0"
"258","008871837","Landelies",4.350976,50.377311,20.734104046243,"Hainaut",0,"10","k = 11",97,"2","0","1"
"259","008833605","Landen",5.07966,50.747927,87.508670520231,"Vlaams Brabant",109,"3","k = 11",300,"1","0","0"
"260","008893054","Landskouter",3.791146,50.970545,20.176300578035,"Oost-Vlaanderen",10,"2","k = 11",343,"2","0","1"
"261","008833258","Langdorp",4.863541,51.002466,32.473988439306,"Vlaams Brabant",15,"3","k = 11",300,"4","0","0"
"262","008874559","Le Campinaire",4.552586,50.428936,14.034682080925,"Hainaut",7,"4","k = 11",114,"2","0","1"
"263","008812161","Lebbeke",4.134372,51.005009,38.791907514451,"Oost-Vlaanderen",36,"8","k = 11",334,"3","0","0"
"264","008895067","Lede",3.984981,50.970895,40.158959537572,"Oost-Vlaanderen",68,"1","k = 11",152,"1","0","0"
"265","008843224","Leman",5.468309,50.600396,21.878612716763,"Liège",1,"6","k = 11",119,"2","0","1"
"266","008814332","Lembeek",4.221577,50.715107,49.054913294798,"Vlaams Brabant",29,"9","k = 11",660,"4","0","0"
"267","008881190","Lens",3.903224,50.559342,26.037572254335,"Hainaut",6,"7","k = 11",63,"2","0","1"
"268","008832003","Leopoldsburg",5.257287,51.117312,28.393063583815,"Limburg",3,"5","k = 11",132,"2","0","1"
"269","008886504","Lessen",3.836434,50.712015,27.14161849711,"Hainaut",7,"1","k = 11",152,"2","0","1"
"270","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"3","k = 11",300,"5","1","0"
"271","008886348","Leuze",3.616872,50.600612,35.083815028902,"Hainaut",42,"7","k = 11",63,"3","0","0"
"272","008882339","Leval",4.211041,50.430797,26.71387283237,"Hainaut",20,"10","k = 11",97,"4","0","0"
"273","008892205","Lichtervelde",3.127212,51.025163,53.095375722543,"West-Vlaanderen",64,"11","k = 11",183,"1","0","0"
"274","008895836","Liedekerke",4.095287,50.882531,82.965317919075,"Vlaams Brabant",101,"1","k = 11",152,"1","0","0"
"275","008841004","Liège-Guillemins",5.566695,50.62455,269.12427745665,"Liège",119,"6","k = 11",119,"1","0","0"
"276","008841558","Liège-Jonfosse",5.561131,50.640299,137.38439306358,"Liège",38,"6","k = 11",119,"3","0","0"
"277","008841525","Liège-Palais",5.570453,50.646349,137.38439306358,"Liège",38,"6","k = 11",119,"3","0","0"
"278","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"3","k = 11",300,"1","0","0"
"279","008895570","Lierde",3.826564,50.816236,28.739884393064,"Oost-Vlaanderen",11,"1","k = 11",152,"2","0","1"
"280","008841673","Liers",5.56683,50.698181,74.132947976879,"Liège",15,"6","k = 11",119,"4","0","0"
"281","008872520","Ligny",4.566133,50.511726,20.161849710983,"Namur",6,"4","k = 11",114,"2","0","1"
"282","008814241","Lillois",4.365368,50.645423,48.872832369942,"Brabant Wallon",40,"9","k = 11",660,"3","0","0"
"283","008811635","Limal",4.575302,50.69214,51.950867052023,"Brabant Wallon",11,"4","k = 11",114,"2","0","1"
"284","008814142","Linkebeek",4.339434,50.773681,51.329479768786,"Vlaams Brabant",46,"9","k = 11",660,"3","0","0"
"285","008891629","Lissewege",3.194505,51.294714,13.263005780347,"West-Vlaanderen",19,"11","k = 11",183,"4","0","0"
"286","008872306","Lodelinsart",4.462946,50.432451,20.161849710983,"Hainaut",6,"10","k = 11",97,"2","0","1"
"287","008894201","Lokeren",3.987794,51.108062,103.95664739884,"Oost-Vlaanderen",98,"8","k = 11",334,"1","0","0"
"288","008832565","Lommel",5.312031,51.211564,18.543352601156,"Limburg",16,"5","k = 11",132,"4","0","0"
"289","008822111","Londerzeel",4.299073,51.009091,36.341040462428,"Vlaams Brabant",39,"8","k = 11",334,"3","0","0"
"290","008861416","Lonzée",4.7201,50.551935,30.820809248555,"Namur",6,"4","k = 11",114,"2","0","1"
"291","008814357","Lot",4.273696,50.766364,49.054913294798,"Vlaams Brabant",29,"9","k = 11",660,"4","0","0"
"292","008811676","Louvain-la-Neuve-Université",4.615745,50.669793,79.942196531792,"Brabant Wallon",25,"4","k = 11",114,"4","0","0"
"293","008863156","Lustin",4.877241,50.391559,34.167630057803,"Namur",12,"4","k = 11",114,"4","0","0"
"294","008871308","Luttre",4.38412,50.505856,101.96242774566,"Hainaut",54,"10","k = 11",97,"3","0","0"
"295","008886041","Maffle",3.800117,50.614356,26.037572254335,"Hainaut",6,"1","k = 11",152,"2","0","1"
"296","008822137","Malderen",4.22911,51.014484,23.023121387283,"Vlaams Brabant",23,"8","k = 11",334,"4","0","0"
"297","008882701","Manage",4.234683,50.506108,51.916184971098,"Hainaut",4,"10","k = 11",97,"2","0","1"
"298","008863461","Marche-les-Dames",4.96458,50.480741,24.320809248555,"Namur",1,"4","k = 11",114,"2","0","1"
"299","008883220","Marche-lez-Écaussinnes",4.177098,50.546173,21.557803468208,"Hainaut",3,"10","k = 11",97,"2","0","1"
"300","008871100","Marchienne-au-Pont",4.394223,50.412171,123.60693641618,"Hainaut",60,"10","k = 11",97,"1","0","0"
"301","008871852","Marchienne-Zone",4.388767,50.397465,20.734104046243,"Hainaut",0,"10","k = 11",97,"2","0","1"
"302","008891132","Maria-Aalter",3.38673,51.107612,25.867052023121,"Oost-Vlaanderen",28,"2","k = 11",343,"4","0","0"
"303","008881174","Masnuy-Saint-Pierre",3.962139,50.536546,18.57225433526,"Hainaut",0,"10","k = 11",97,"2","0","1"
"304","008885530","Maubray",3.495527,50.547557,4.9479768786127,"Hainaut",1,"7","k = 11",63,"2","0","1"
"305","008861333","Mazy",4.675829,50.513497,4.8410404624277,"Namur",0,"4","k = 11",114,"2","0","1"
"306","008822004","Mechelen",4.482785,51.017648,306.52312138728,"Antwerpen",253,"3","k = 11",300,"5","1","0"
"307","008822343","Mechelen-Nekkerspoel",4.489914,51.029883,91.372832369942,"Antwerpen",76,"3","k = 11",300,"1","0","0"
"308","008811171","Meiser",4.394421,50.854072,20.771676300578,"Bruxelles",26,"9","k = 11",660,"4","0","0"
"309","008821824","Melkouwen",4.671532,51.094938,29.921965317919,"Antwerpen",18,"3","k = 11",300,"4","0","0"
"310","008893039","Melle",3.797088,51.002807,64.190751445087,"Oost-Vlaanderen",68,"2","k = 11",343,"1","0","0"
"311","008894755","Melsele",4.286766,51.21071,30.433526011561,"Oost-Vlaanderen",9,"8","k = 11",334,"2","0","1"
"312","008896305","Menen",3.113791,50.799489,22.445086705202,"West-Vlaanderen",29,"11","k = 11",183,"4","0","0"
"313","008812120","Merchtem",4.222718,50.954958,38.589595375723,"Vlaams Brabant",36,"8","k = 11",334,"3","0","0"
"314","008893013","Merelbeke",3.768889,51.017531,64.190751445087,"Oost-Vlaanderen",69,"2","k = 11",343,"1","0","0"
"315","008811197","Merode",4.398934,50.839284,20.771676300578,"Bruxelles",6,"9","k = 11",660,"2","0","1"
"316","008842648","Méry",5.587236,50.54762,25.439306358382,"Liège",8,"6","k = 11",119,"2","0","1"
"317","008886058","Mevergnies-Attre",3.833917,50.600108,21.676300578035,"Hainaut",6,"1","k = 11",152,"2","0","1"
"318","008841665","Milmort",5.60009,50.692455,74.132947976879,"Liège",15,"6","k = 11",119,"4","0","0"
"319","008814431","Moensberg",4.330733,50.77832,37.742774566474,"Bruxelles",19,"9","k = 11",660,"4","0","0"
"320","008885704","Mouscron",3.228448,50.741005,55.433526011561,"Hainaut",26,"11","k = 11",183,"4","0","0"
"321","008832409","Mol",5.116336,51.19105,59.751445086705,"Antwerpen",28,"5","k = 11",132,"4","0","0"
